Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Fragile and conflict affected situations,208280083.00,213082100.00,218087139.00,223284589.00,228670583.00,234243249.00,240005133.00,245962230.00,252116419.00,258473157.00,265037231.00,271800288.00,278767597.00,285961194.00,293417700.00,301154406.00,309196463.00,317520801.00,326050578.00,334679714.00,343334222.00,352006783.00,360736356.00,369569548.00,378570396.00,387802210.00,397235010.00,406892515.00,416947257.00,427617018.00,440953223.00,453319569.00,466482801.00,480127968.00,493815261.00,507247352.00,520303326.00,533112558.00,545728172.00,558627550.00,572303917.00,586760366.00,601848734.00,617468591.00,633460044.00,649704454.00,666174377.00,682901570.00,700030438.00,717553793.00,735448194.00,753858934.00,772742559.00,791943328.00,811249811.00,830536041.00,849739853.00,868954263.00,888488369.00,908739462.00,930004306.00
Finland,4429634.00,4461005.00,4491443.00,4523309.00,4548543.00,4563732.00,4580869.00,4605744.00,4626469.00,4623785.00,4606307.00,4612124.00,4639657.00,4666081.00,4690574.00,4711440.00,4725664.00,4738902.00,4752528.00,4764690.00,4779535.00,4799964.00,4826933.00,4855787.00,4881803.00,4902206.00,4918154.00,4932123.00,4946481.00,4964371.00,4986431.00,5013740.00,5041992.00,5066447.00,5088333.00,5107790.00,5124573.00,5139835.00,5153498.00,5165474.00,5176209.00,5188008.00,5200598.00,5213014.00,5228172.00,5246096.00,5266268.00,5288720.00,5313399.00,5338871.00,5363352.00,5388272.00,5413971.00,5438972.00,5461512.00,5479531.00,5495303.00,5508214.00,5515525.00,5521606.00,5529543.00
Fiji,393480.00,407244.00,421673.00,436303.00,450538.00,463960.00,476399.00,487973.00,498944.00,509708.00,520561.00,531622.00,542843.00,554143.00,565418.00,576626.00,587561.00,598299.00,609383.00,621584.00,635312.00,651032.00,668281.00,685497.00,700478.00,711770.00,718642.00,721776.00,722924.00,724602.00,728575.00,735398.00,744470.00,754962.00,765607.00,775428.00,784389.00,792736.00,800148.00,806302.00,811011.00,813923.00,815257.00,816078.00,817864.00,821606.00,827869.00,836185.00,845356.00,853636.00,859816.00,863451.00,865065.00,865602.00,866447.00,868632.00,872406.00,877460.00,883490.00,889955.00,896444.00
France,46621688.00,47240526.00,47904879.00,48582624.00,49230585.00,49818019.00,50330268.00,50775788.00,51175507.00,51561833.00,51957747.00,52371320.00,52793151.00,53207744.00,53592235.00,53931390.00,54220033.00,54467709.00,54691866.00,54917110.00,55161510.00,55430278.00,55718940.00,56023775.00,56337675.00,56654703.00,56976126.00,57302642.00,57627106.00,57940199.00,58235716.00,58559309.00,58851216.00,59106758.00,59327200.00,59541904.00,59753095.00,59964841.00,60186284.00,60496708.00,60912500.00,61357432.00,61805266.00,62244880.00,62704901.00,63179356.00,63621376.00,64016227.00,64374979.00,64707035.00,65027505.00,65342789.00,65659814.00,65998685.00,66312067.00,66548272.00,66724104.00,66918020.00,67101930.00,67248926.00,67379908.00
Faroe Islands,34624.00,35074.00,35521.00,35965.00,36409.00,36843.00,37283.00,37705.00,38131.00,38560.00,39008.00,39456.00,39915.00,40395.00,40847.00,41292.00,41724.00,42133.00,42539.00,42941.00,43339.00,43725.00,44101.00,44483.00,44895.00,45328.00,45812.00,46340.00,46833.00,47159.00,47276.00,47123.00,46746.00,46277.00,45848.00,45625.00,45624.00,45789.00,46094.00,46428.00,46738.00,46999.00,47235.00,47439.00,47600.00,47731.00,47793.00,47825.00,47822.00,47814.00,47803.00,47815.00,47843.00,47901.00,47965.00,48055.00,48173.00,48326.00,48497.00,48677.00,48865.00
"Micronesia, Fed. Sts.",44510.00,45939.00,47372.00,48856.00,50476.00,52224.00,54192.00,56308.00,58386.00,60146.00,61415.00,62089.00,62275.00,62268.00,62456.00,63122.00,64360.00,66079.00,68196.00,70515.00,72936.00,75422.00,78015.00,80630.00,83192.00,85641.00,87904.00,89985.00,91984.00,94062.00,96304.00,98779.00,101386.00,103901.00,106030.00,107535.00,108311.00,108473.00,108206.00,107769.00,107405.00,107170.00,107027.00,106902.00,106624.00,106135.00,105374.00,104442.00,103549.00,102971.00,102916.00,103448.00,104506.00,105922.00,107444.00,108886.00,110215.00,111461.00,112640.00,113811.00,115021.00
Gabon,500922.00,505793.00,511285.00,517573.00,524891.00,533357.00,543119.00,554054.00,565763.00,577644.00,589317.00,600608.00,611705.00,622914.00,634739.00,647538.00,661398.00,676264.00,692078.00,708788.00,726335.00,744695.00,763932.00,784056.00,805117.00,827107.00,850052.00,873871.00,898472.00,923714.00,949493.00,975785.00,1002573.00,1029769.00,1057252.00,1084951.00,1112944.00,1141332.00,1170061.00,1199058.00,1228359.00,1258008.00,1288310.00,1319946.00,1353788.00,1390550.00,1430144.00,1472565.00,1518538.00,1568925.00,1624146.00,1684629.00,1749677.00,1817070.00,1883801.00,1947690.00,2007882.00,2064812.00,2119275.00,2172578.00,2225728.00
United Kingdom,52400000.00,52800000.00,53250000.00,53650000.00,54000000.00,54348050.00,54648500.00,54943600.00,55211700.00,55441750.00,55663250.00,55896223.00,56086065.00,56194527.00,56229974.00,56225800.00,56211968.00,56193492.00,56196504.00,56246951.00,56314216.00,56333829.00,56313641.00,56332848.00,56422072.00,56550268.00,56681396.00,56802050.00,56928327.00,57076711.00,57247586.00,57424897.00,57580402.00,57718614.00,57865745.00,58019030.00,58166950.00,58316954.00,58487141.00,58682466.00,58892514.00,59119673.00,59370479.00,59647577.00,59987905.00,60401206.00,60846820.00,61322463.00,61806995.00,62276270.00,62766365.00,63258810.00,63700215.00,64128273.00,64602298.00,65116219.00,65611593.00,66058859.00,66460344.00,66836327.00,67215293.00
Georgia,3645600.00,3703600.00,3760300.00,3816100.00,3870300.00,3921600.00,3966700.00,4005800.00,4042300.00,4080300.00,4119900.00,4163000.00,4205300.00,4242500.00,4279500.00,4311200.00,4342400.00,4372100.00,4397700.00,4430200.00,4467700.00,4504500.00,4542800.00,4582900.00,4622200.00,4662900.00,4704500.00,4743500.00,4790700.00,4803300.00,4802000.00,4835900.00,4873500.00,4911100.00,4836076.00,4657722.00,4491699.00,4349913.00,4243607.00,4157192.00,4077131.00,4014373.00,3978515.00,3951736.00,3927340.00,3902469.00,3880347.00,3860158.00,3848449.00,3814419.00,3786695.00,3756441.00,3728874.00,3717668.00,3719414.00,3725276.00,3727505.00,3728004.00,3726549.00,3720161.00,3722716.00
Ghana,6635229.00,6848291.00,7071966.00,7300124.00,7524470.00,7739463.00,7941418.00,8132803.00,8321773.00,8520018.00,8735493.00,8973247.00,9229640.00,9493552.00,9749098.00,9985946.00,10199164.00,10395453.00,10590265.00,10805318.00,11056112.00,11348287.00,11676828.00,12033559.00,12405659.00,12783617.00,13164839.00,13552021.00,13947047.00,14353409.00,14773274.00,15207360.00,15653345.00,16106756.00,16561677.00,17014058.00,17462504.00,17908977.00,18357159.00,18812369.00,19278850.00,19756929.00,20246376.00,20750308.00,21272328.00,21814648.00,22379057.00,22963946.00,23563832.00,24170943.00,24779614.00,25387713.00,25996454.00,26607641.00,27224480.00,27849203.00,28481947.00,29121464.00,29767108.00,30417858.00,31072945.00
Gibraltar,23420.00,23808.00,24307.00,24889.00,25478.00,26079.00,26631.00,27172.00,27693.00,28165.00,28601.00,29007.00,29353.00,29657.00,29886.00,30062.00,30179.00,30228.00,30224.00,30172.00,30068.00,29902.00,29698.00,29481.00,29284.00,29151.00,29096.00,29114.00,29164.00,29187.00,29149.00,29021.00,28844.00,28680.00,28605.00,28688.00,28970.00,29404.00,29945.00,30526.00,31081.00,31604.00,32097.00,32556.00,32930.00,33222.00,33420.00,33524.00,33570.00,33562.00,33585.00,33608.00,33653.00,33694.00,33726.00,33742.00,33738.00,33723.00,33715.00,33706.00,33691.00
Guinea,3494164.00,3552068.00,3611428.00,3672560.00,3735912.00,3801711.00,3870204.00,3941046.00,4013050.00,4084601.00,4154606.00,4223056.00,4290544.00,4357357.00,4424030.00,4491248.00,4559239.00,4628881.00,4702371.00,4782491.00,4871446.00,4969595.00,5077073.00,5195443.00,5326369.00,5470716.00,5629420.00,5801323.00,5982484.00,6167480.00,6352282.00,6534936.00,6716032.00,6897171.00,7081119.00,7269631.00,7463782.00,7662071.00,7860772.00,8054745.00,8240735.00,8417082.00,8586077.00,8753097.00,8925729.00,9109585.00,9307421.00,9518159.00,9738796.00,9964470.00,10192168.00,10420459.00,10652032.00,10892821.00,11150970.00,11432096.00,11738434.00,12067516.00,12414292.00,12771246.00,13132792.00
"Gambia, The",365049.00,372436.00,379886.00,387635.00,396012.00,405258.00,415478.00,426622.00,438590.00,451228.00,464404.00,478106.00,492424.00,507428.00,523250.00,539985.00,557810.00,576755.00,596540.00,616770.00,637252.00,657581.00,678111.00,700198.00,725688.00,755791.00,791141.00,831011.00,873440.00,915631.00,955595.00,992671.00,1027476.00,1060861.00,1094219.00,1128577.00,1164091.00,1200522.00,1238124.00,1277118.00,1317708.00,1360070.00,1404263.00,1449925.00,1496524.00,1543745.00,1591444.00,1639846.00,1689288.00,1740277.00,1793199.00,1848142.00,1905020.00,1963708.00,2024037.00,2085860.00,2149134.00,2213900.00,2280092.00,2347696.00,2416664.00
Guinea-Bissau,616140.00,622754.00,628877.00,635008.00,641821.00,649795.00,658998.00,669243.00,680431.00,692407.00,704937.00,718359.00,732516.00,746178.00,757668.00,765985.00,770415.00,771732.00,772137.00,774726.00,781678.00,793804.00,810402.00,830212.00,851276.00,872163.00,892530.00,912755.00,933046.00,953782.00,975265.00,997522.00,1020353.00,1043421.00,1066345.00,1088850.00,1110835.00,1132505.00,1154372.00,1177133.00,1201305.00,1227105.00,1254454.00,1283297.00,1313492.00,1344931.00,1377582.00,1411545.00,1446936.00,1483920.00,1522603.00,1562996.00,1604981.00,1648259.00,1692433.00,1737207.00,1782434.00,1828146.00,1874304.00,1920917.00,1967998.00
Equatorial Guinea,255338.00,258786.00,262219.00,266005.00,270616.00,276296.00,283506.00,291786.00,299416.00,304000.00,303986.00,298852.00,289508.00,277656.00,265762.00,255808.00,247969.00,242160.00,239681.00,241977.00,249931.00,264370.00,284638.00,308208.00,331554.00,352116.00,369024.00,382977.00,394973.00,406620.00,419188.00,432844.00,447269.00,462637.00,479099.00,496768.00,515844.00,536459.00,558496.00,581765.00,606180.00,631662.00,658388.00,686670.00,716949.00,749527.00,784494.00,821686.00,860839.00,901589.00,943640.00,986861.00,1031191.00,1076412.00,1122273.00,1168575.00,1215181.00,1262008.00,1308966.00,1355982.00,1402985.00
Greece,8331725.00,8398050.00,8448233.00,8479625.00,8510429.00,8550333.00,8613651.00,8684088.00,8740765.00,8772764.00,8792806.00,8831036.00,8888628.00,8929086.00,8962022.00,9046541.00,9188150.00,9308479.00,9429959.00,9548258.00,9642505.00,9729350.00,9789513.00,9846627.00,9895801.00,9934300.00,9967213.00,10000595.00,10036983.00,10089498.00,10196792.00,10319927.00,10399061.00,10460415.00,10512922.00,10562153.00,10608800.00,10661259.00,10720509.00,10761698.00,10805808.00,10862132.00,10902022.00,10928070.00,10955141.00,10987314.00,11020362.00,11048473.00,11077841.00,11107017.00,11121341.00,11104899.00,11045011.00,10965211.00,10892413.00,10820883.00,10775971.00,10754679.00,10732882.00,10721582.00,10700556.00
Grenada,89927.00,91324.00,92481.00,93409.00,94122.00,94634.00,94936.00,95012.00,94929.00,94723.00,94476.00,94212.00,93984.00,93661.00,93190.00,92494.00,91469.00,90219.00,89104.00,88603.00,89032.00,90610.00,93132.00,96020.00,98472.00,99953.00,100183.00,99425.00,98126.00,96932.00,96328.00,96462.00,97161.00,98234.00,99345.00,100286.00,101003.00,101567.00,102023.00,102429.00,102837.00,103242.00,103636.00,104003.00,104346.00,104658.00,104938.00,105183.00,105457.00,105787.00,106227.00,106786.00,107452.00,108172.00,108900.00,109603.00,110263.00,110874.00,111449.00,112002.00,112519.00
Greenland,32500.00,33700.00,35000.00,36400.00,37600.00,39200.00,40500.00,41900.00,43400.00,44900.00,46400.00,47200.00,48300.00,49000.00,49500.00,49600.00,49700.00,49400.00,49200.00,49600.00,50200.00,51000.00,51500.00,52100.00,52700.00,53200.00,53500.00,54100.00,54800.00,55300.00,55600.00,55500.00,55300.00,55200.00,55500.00,55800.00,55900.00,56000.00,56100.00,56100.00,56200.00,56350.00,56609.00,56765.00,56911.00,56935.00,56774.00,56555.00,56328.00,56323.00,56905.00,56890.00,56810.00,56483.00,56295.00,56114.00,56186.00,56171.00,56023.00,56225.00,56367.00
Guatemala,4128880.00,4251911.00,4378604.00,4508444.00,4640795.00,4774984.00,4910790.00,5047435.00,5184095.00,5320100.00,5455197.00,5589563.00,5723759.00,5858466.00,5994300.00,6131151.00,6269983.00,6412667.00,6561919.00,6720582.00,6890346.00,7071186.00,7262658.00,7462585.00,7669863.00,7884034.00,8104921.00,8332446.00,8566331.00,8805995.00,9050115.00,9296814.00,9544055.00,9790619.00,10037522.00,10286786.00,10536942.00,10788362.00,11046215.00,11311078.00,11589761.00,11871565.00,12147518.00,12415334.00,12682108.00,12948292.00,13213330.00,13477017.00,13739299.00,14000190.00,14259687.00,14521515.00,14781942.00,15043981.00,15306316.00,15567419.00,15827690.00,16087418.00,16346950.00,16604026.00,16858333.00
Guam,66733.00,68065.00,69605.00,71289.00,73047.00,74828.00,76611.00,78412.00,80212.00,82040.00,83875.00,85729.00,87580.00,89459.00,91378.00,93351.00,95380.00,97477.00,99629.00,101837.00,104134.00,106482.00,108901.00,111403.00,113953.00,116576.00,119228.00,121923.00,124674.00,127525.00,130480.00,133553.00,136693.00,139813.00,142806.00,145559.00,148061.00,150303.00,152274.00,153955.00,155323.00,156395.00,157173.00,157723.00,158094.00,158406.00,158649.00,158848.00,159037.00,159232.00,159439.00,159690.00,159990.00,160415.00,161007.00,161851.00,162948.00,164281.00,165770.00,167295.00,168783.00
Guyana,571813.00,589274.00,606286.00,622580.00,637835.00,651865.00,664518.00,675861.00,686144.00,695743.00,704930.00,713684.00,721949.00,729909.00,737846.00,745847.00,754101.00,762424.00,770128.00,776257.00,780153.00,781734.00,781249.00,778953.00,775217.00,770439.00,764447.00,757451.00,750641.00,745581.00,743306.00,744477.00,748596.00,754141.00,758896.00,761298.00,760801.00,757975.00,753778.00,749676.00,746718.00,745206.00,744789.00,745142.00,745737.00,746156.00,746335.00,746477.00,746815.00,747718.00,749430.00,752029.00,755388.00,759281.00,763371.00,767433.00,771363.00,775218.00,779007.00,782775.00,786559.00
High income,759783611.00,769499360.00,779465348.00,789358853.00,799159797.00,808596600.00,817426786.00,825698975.00,833895491.00,842260894.00,850563450.00,860560048.00,869313732.00,877805133.00,886141034.00,894227661.00,901732072.00,909139852.00,916611800.00,924450013.00,932075328.00,939681156.00,946904804.00,953688382.00,960111311.00,966563677.00,973188301.00,979874901.00,986702713.00,993966356.00,1001677611.00,1010166079.00,1016513603.00,1024551207.00,1032035681.00,1040719622.00,1047818942.00,1054747601.00,1061501831.00,1068197515.00,1074819578.00,1081809509.00,1089036403.00,1096166107.00,1103693618.00,1111423301.00,1119840651.00,1128710968.00,1138167727.00,1146611428.00,1154194529.00,1159642350.00,1166465944.00,1173351852.00,1180423771.00,1187317397.00,1194191812.00,1200273579.00,1205920193.00,1210861494.00,1216834555.00
"Hong Kong SAR, China",3075605.00,3168100.00,3305200.00,3420900.00,3504600.00,3597900.00,3629900.00,3722800.00,3802700.00,3863900.00,3959000.00,4045300.00,4123600.00,4241600.00,4377800.00,4461600.00,4518000.00,4583700.00,4667500.00,4929700.00,5063100.00,5183400.00,5264500.00,5345100.00,5397900.00,5456200.00,5524600.00,5580500.00,5627600.00,5686200.00,5704500.00,5752000.00,5800500.00,5901000.00,6035400.00,6156100.00,6435500.00,6489300.00,6543700.00,6606500.00,6665000.00,6714300.00,6744100.00,6730800.00,6783500.00,6813200.00,6857100.00,6916300.00,6957800.00,6972800.00,7024200.00,7071600.00,7150100.00,7178900.00,7229500.00,7291300.00,7336600.00,7391700.00,7451000.00,7507400.00,7481800.00
Honduras,2038636.00,2096407.00,2155648.00,2216712.00,2280044.00,2346005.00,2414805.00,2486418.00,2560723.00,2637515.00,2716652.00,2798125.00,2882102.00,2968978.00,3059245.00,3153252.00,3251145.00,3352825.00,3458102.00,3566661.00,3678274.00,3792922.00,3910642.00,4031333.00,4154864.00,4281167.00,4410270.00,4542218.00,4677023.00,4814696.00,4955302.00,5098594.00,5244677.00,5394416.00,5548969.00,5709010.00,5874814.00,6045704.00,6220405.00,6397140.00,6574510.00,6751912.00,6929267.00,7106323.00,7282953.00,7458982.00,7634295.00,7808520.00,7980955.00,8150780.00,8317467.00,8480670.00,8640692.00,8798524.00,8955579.00,9112904.00,9270794.00,9429016.00,9587523.00,9746115.00,9904608.00
Heavily indebted poor countries (HIPC),161734348.00,165573136.00,169567052.00,173722891.00,178048131.00,182548798.00,187227553.00,192084675.00,197119416.00,202329958.00,207714326.00,213272593.00,219004306.00,224905337.00,230970270.00,237195030.00,243590882.00,250160343.00,256880818.00,263721632.00,270668519.00,277719154.00,284905161.00,292290400.00,299959455.00,307980326.00,316358167.00,325095129.00,334249174.00,343887503.00,354047283.00,364782214.00,376055877.00,387705086.00,399503994.00,411298637.00,423019239.00,434736157.00,446608371.00,458867418.00,471680803.00,485112670.00,499113608.00,513601222.00,528444638.00,543555314.00,558909246.00,574560319.00,590590409.00,607115601.00,624219296.00,641921373.00,660193919.00,679013004.00,698336663.00,718128408.00,738387077.00,759106118.00,780234453.00,801708019.00,823480038.00
Croatia,4140181.00,4167292.00,4196712.00,4225675.00,4252876.00,4280923.00,4310701.00,4338683.00,4365628.00,4391490.00,4412252.00,4431275.00,4450564.00,4470161.00,4490660.00,4512082.00,4535934.00,4559571.00,4581085.00,4594778.00,4599782.00,4611509.00,4634234.00,4658254.00,4680285.00,4701417.00,4721446.00,4739745.00,4755207.00,4767260.00,4777368.00,4689022.00,4575818.00,4600463.00,4652024.00,4620030.00,4557097.00,4534920.00,4532135.00,4512597.00,4468302.00,4299642.00,4302174.00,4303399.00,4304600.00,4310145.00,4311159.00,4310217.00,4309705.00,4305181.00,4295427.00,4280622.00,4267558.00,4255689.00,4238389.00,4203604.00,4174349.00,4124531.00,4087843.00,4065253.00,4047680.00
Haiti,3866162.00,3941956.00,4019171.00,4097755.00,4177631.00,4258734.00,4341325.00,4425318.00,4509811.00,4593666.00,4676237.00,4757175.00,4837334.00,4918625.00,5003708.00,5094570.00,5191637.00,5294625.00,5404020.00,5520187.00,5643175.00,5773367.00,5910223.00,6051617.00,6194686.00,6337275.00,6478537.00,6618742.00,6758222.00,6897755.00,7037915.00,7178611.00,7319491.00,7460684.00,7602318.00,7744509.00,7887312.00,8030721.00,8174680.00,8319070.00,8463802.00,8608810.00,8754148.00,8900108.00,9047082.00,9195289.00,9344784.00,9495336.00,9646570.00,9798046.00,9949318.00,10100320.00,10250922.00,10400672.00,10549007.00,10695540.00,10839976.00,10982367.00,11123183.00,11263079.00,11402533.00
Hungary,9983967.00,10029321.00,10061734.00,10087947.00,10119835.00,10147935.00,10178653.00,10216604.00,10255815.00,10298723.00,10337910.00,10367537.00,10398489.00,10432055.00,10478720.00,10540525.00,10598677.00,10648031.00,10684822.00,10704152.00,10711122.00,10711848.00,10705535.00,10689463.00,10668095.00,10648713.00,10630564.00,10612741.00,10596487.00,10481719.00,10373988.00,10373400.00,10369341.00,10357523.00,10343355.00,10328965.00,10311238.00,10290486.00,10266570.00,10237530.00,10210971.00,10187576.00,10158608.00,10129552.00,10107146.00,10087065.00,10071370.00,10055780.00,10038188.00,10022650.00,10000023.00,9971727.00,9920362.00,9893082.00,9866468.00,9843028.00,9814023.00,9787966.00,9775564.00,9771141.00,9750149.00
IBRD only,1919643259.00,1940356959.00,1974018983.00,2019553695.00,2065153294.00,2111931236.00,2161881347.00,2211446261.00,2262350288.00,2315407668.00,2369907013.00,2425733326.00,2480636089.00,2535259156.00,2589035943.00,2641036429.00,2691929607.00,2741759767.00,2792102883.00,2843436775.00,2895270850.00,2948643246.00,3004914790.00,3061809639.00,3118212761.00,3175484847.00,3234352999.00,3294789920.00,3355391546.00,3414926034.00,3472795732.00,3529273394.00,3583654056.00,3636953514.00,3689444106.00,3740821342.00,3791695401.00,3842263818.00,3892057436.00,3940452377.00,3987186829.00,4032814517.00,4077635144.00,4122139637.00,4166298061.00,4210302243.00,4253850306.00,4296851873.00,4340107147.00,4383682686.00,4427039470.00,4471931983.00,4518944265.00,4566062769.00,4612371789.00,4657516187.00,4701907494.00,4746018766.00,4787343661.00,4826259460.00,4862308152.00
IDA & IBRD total,2299245319.00,2329154652.00,2372380699.00,2427869417.00,2483839827.00,2541414856.00,2602626879.00,2663895780.00,2726850543.00,2792171255.00,2859058030.00,2927364907.00,2994908497.00,3062459678.00,3129647875.00,3195675150.00,3261263509.00,3326428526.00,3392709227.00,3460519136.00,3529315742.00,3600136821.00,3674370514.00,3749764704.00,3825225748.00,3902131693.00,3981206664.00,4062409031.00,4144329655.00,4225751603.00,4306159746.00,4385564153.00,4463428329.00,4540599237.00,4617236728.00,4693043793.00,4768632422.00,4844171403.00,4919044671.00,4992700760.00,5065355830.00,5137393838.00,5209071406.00,5280906028.00,5352906491.00,5425273244.00,5497768362.00,5570325587.00,5643683607.00,5717805879.00,5792386087.00,5868805803.00,5947406419.00,6026674017.00,6105863361.00,6184735051.00,6263736146.00,6343292514.00,6420905201.00,6496952025.00,6570914880.00
IDA total,379602060.00,388797693.00,398361716.00,408315722.00,418686533.00,429483620.00,440745532.00,452449519.00,464500255.00,476763587.00,489151017.00,501631581.00,514272408.00,527200522.00,540611932.00,554638721.00,569333902.00,584668759.00,600606344.00,617082361.00,634044892.00,651493575.00,669455724.00,687955065.00,707012987.00,726646846.00,746853665.00,767619111.00,788938109.00,810825569.00,833364014.00,856290759.00,879774273.00,903645723.00,927792622.00,952222451.00,976937021.00,1001907585.00,1026987235.00,1052248383.00,1078169001.00,1104579321.00,1131436262.00,1158766391.00,1186608430.00,1214971001.00,1243918056.00,1273473714.00,1303576460.00,1334123193.00,1365346617.00,1396873820.00,1428462154.00,1460611248.00,1493491572.00,1527218864.00,1561828652.00,1597273748.00,1633561540.00,1670692565.00,1708606728.00
IDA blend,120391642.00,123270998.00,126289838.00,129443834.00,132726682.00,136134348.00,139672971.00,143347860.00,147154758.00,151087339.00,155145837.00,159323709.00,163635977.00,168129765.00,172867304.00,177892039.00,183221937.00,188841826.00,194720560.00,200810543.00,207074946.00,213499720.00,220088448.00,226841896.00,233765810.00,240860675.00,248127780.00,255551895.00,263097505.00,270718966.00,278496624.00,286142541.00,293874928.00,301679823.00,309568084.00,317616125.00,325908669.00,334399195.00,342980973.00,351519915.00,360173395.00,368820674.00,377512139.00,386309887.00,395320129.00,404615733.00,414232540.00,424192620.00,434469632.00,444998547.00,456049577.00,467267685.00,478335316.00,489624577.00,501146189.00,512877239.00,524794580.00,536871945.00,549127807.00,561571929.00,574159138.00
Indonesia,87751066.00,90098396.00,92518373.00,95015295.00,97596728.00,100267070.00,103025423.00,105865576.00,108779926.00,111758566.00,114793179.00,117880146.00,121017316.00,124199693.00,127422198.00,130680730.00,133966940.00,137278057.00,140621731.00,144009844.00,147447834.00,150938222.00,154468235.00,158009248.00,161523353.00,164982452.00,168374287.00,171702756.00,174975953.00,178209147.00,181413398.00,184591897.00,187739786.00,190851184.00,193917458.00,196934257.00,199901231.00,202826444.00,205724597.00,208615171.00,211513822.00,214427419.00,217357790.00,220309473.00,223285666.00,226289468.00,229318262.00,232374239.00,235469755.00,238620554.00,241834226.00,245115988.00,248451714.00,251805314.00,255128076.00,258383257.00,261556386.00,264650969.00,267670549.00,270625567.00,273523621.00
IDA only,259210418.00,265526695.00,272071878.00,278871888.00,285959851.00,293349272.00,301072561.00,309101659.00,317345497.00,325676248.00,334005180.00,342307872.00,350636431.00,359070757.00,367744628.00,376746682.00,386111965.00,395826933.00,405885784.00,416271818.00,426969946.00,437993855.00,449367276.00,461113169.00,473247177.00,485786171.00,498725885.00,512067216.00,525840604.00,540106603.00,554867390.00,570148218.00,585899345.00,601965900.00,618224538.00,634606326.00,651028352.00,667508390.00,684006262.00,700728468.00,717995606.00,735758647.00,753924123.00,772456504.00,791288301.00,810355268.00,829685516.00,849281094.00,869106828.00,889124646.00,909297040.00,929606135.00,950126838.00,970986671.00,992345383.00,1014341625.00,1037034072.00,1060401803.00,1084433733.00,1109120636.00,1134447590.00
Isle of Man,48444.00,48286.00,48421.00,48800.00,49396.00,50145.00,51051.00,52117.00,53252.00,54378.00,55431.00,56352.00,57166.00,57919.00,58673.00,59482.00,60374.00,61335.00,62260.00,63026.00,63546.00,63778.00,63765.00,63697.00,63812.00,64277.00,65200.00,66476.00,67927.00,69263.00,70292.00,70928.00,71262.00,71431.00,71662.00,72133.00,72884.00,73851.00,74936.00,75996.00,76942.00,77707.00,78318.00,78878.00,79515.00,80293.00,81283.00,82406.00,83515.00,84379.00,84856.00,84889.00,84534.00,83985.00,83488.00,83232.00,83296.00,83610.00,84073.00,84589.00,85032.00
India,450547675.00,459642166.00,469077191.00,478825602.00,488848139.00,499123328.00,509631509.00,520400577.00,531513834.00,543084333.00,555189797.00,567868021.00,581087255.00,594770136.00,608802595.00,623102900.00,637630085.00,652408766.00,667499815.00,682995348.00,698952837.00,715384997.00,732239498.00,749428958.00,766833411.00,784360012.00,801975250.00,819682095.00,837468938.00,855334675.00,873277799.00,891273202.00,909307018.00,927403866.00,945601828.00,963922586.00,982365248.00,1000900028.00,1019483586.00,1038058154.00,1056575548.00,1075000094.00,1093317187.00,1111523146.00,1129623466.00,1147609924.00,1165486291.00,1183209471.00,1200669762.00,1217726217.00,1234281163.00,1250287939.00,1265780243.00,1280842119.00,1295600768.00,1310152392.00,1324517250.00,1338676779.00,1352642283.00,1366417756.00,1380004385.00
Not classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,2828600,2824400,2836050,2852650,2866550,2877300,2888800,2902450,2915550,2932650,2957250,2992050,3036850,3085950,3137500,3189550,3238050,3282200,3329100,3373750,3412800,3453000,3485800,3510600,3532423,3538082,3539690,3540057,3524949,3511009,3513974,3534235,3558430,3576261,3590386,3608841,3637510,3674171,3712696,3754786,3805174,3866243,3931947,3996521,4070262,4159914,4273591,4398942,4489544,4535375,4560155,4580084,4599533,4623816,4657740,4701957,4755335,4807388,4867316,4934340,4985674
"Iran, Islamic Rep.",21906909,22480371,23071309,23680246,24307855,24954865,25624380,26317776,27032576,27764928,28513872,29281583,30075295,30905721,31786481,32729772,33733975,34803041,35960811,37237145,38650244,40199911,41869231,43636838,45472792,47347197,49260263,51193782,53077312,54822005,56366212,57679025,58780376,59723761,60590608,61442658,62294919,63136309,63971836,64800875,65623397,66449111,67284801,68122947,68951279,69762345,70554756,71336476,72120608,72924833,73762519,74634959,75539881,76481963,77465769,78492208,79563991,80673888,81800204,82913893,83992953
Iraq,7289753,7475349,7674217,7888910,8122199,8375795,8651162,8947397,9260687,9585585,9917978,10255853,10599661,10950888,11312062,11684579,12068675,12462059,12860678,13259107,13653348,14044115,14432466,14815653,15190396,15555807,15909764,16257072,16612319,16994942,17419113,17889457,18402740,18955087,19539348,20149342,20783073,21439579,22114330,22802061,23497589,24208178,24931922,25644503,26313838,26922279,27448124,27911242,28385739,28973157,29741977,30725305,31890012,33157061,34411949,35572269,36610632,37552789,38433604,39309789,40222503
